,CF 1,CF 2,CF 3,CF 4,SF 1,SF 2,SF 3,SF 4,SF 5
1,2,3,4,2,3,4,5,4,2
2,4,2,4,4,4,3,2,5,3
3,5,3,3,5,2,4,4,4,4
4,4,4,3,3,3,3,5,2,5
5,2,5,4,2,5,3,3,3,4
6,4,3,5,4,4,4,2,3,2
7,5,4,4,3,3,5,4,4,4
8,3,3,2,3,4,4,3,5,5
9,2,4,4,2,5,2,3,4,2
10,5,5,5,2,4,4,5,2,2
11,3,4,3,4,5,5,4,4,4
12,4,4,4,5,3,4,4,5,4
13,3,4,5,4,4,5,4,4,5
14,2,3,4,4,5,3,4,5,3
15,3,3,4,5,5,5,4,4,4
16,4,3,2,4,4,4,3,3,5
17,3,3,3,5,5,5,4,4,4
18,4,4,3,4,4,5,4,5,5
19,4,4,4,4,5,4,4,4,4
20,5,5,4,3,4,5,5,3,3
21,4,3,2,5,3,4,5,4,3
22,4,2,3,3,4,4,5,3,4
23,3,4,3,3,5,4,4,4,5
24,2,2,3,4,3,4,5,5,5
25,3,4,4,3,5,5,3,4,4
26,3,2,3,3,4,4,4,5,5
27,4,4,4,3,5,4,3,3,4
28,4,3,4,3,5,5,4,4,5
29,4,3,5,5,4,4,5,4,4
30,2,3,4,5,3,3,4,3,5
31,4,4,4,3,5,3,4,3,3
32,3,2,3,4,5,4,4,3,4
33,4,3,2,5,5,5,4,3,3
34,4,4,4,5,3,4,4,5,4
35,5,4,3,4,5,4,5,5,4
36,3,3,2,4,5,4,3,4,4
37,4,4,5,4,3,4,4,5,5
38,3,4,5,4,5,4,3,3,5
